module,icon,Status
open-access-to-research-papers.md,paper.html,In development
open-advocacy.md,megaphone-alt.html,planned
open-collaboration.md,group.html,planned
open-educational-resources.md,cap.html,planned
open-evaluation.md,check.html,planned
open-principles.md,pillar.html,Online
open-research-data.md,trends.html,In development
open-research-software-and-open-source.md,computer.html,Online
public-engagement-with-science.md,globe.html,planned
reproducible-research-and-data-analysis.md,stack.html,planned
